,cloudiness,country,date,humidity,lat,lon,maxtemp,wind_speed
184,0,ES,1561605486,72,40.81,0.52,70,3.36
185,90,GL,1561605546,93,60.91,-46.05,46.4,8.05
186,57,NA,1561605546,32,-24.14,19.11,50.81,9.46
187,100,RU,1561605546,99,46.45,135.83,58.19,3.56
188,90,AU,1561605547,56,-23.53,148.16,71.6,12.75
189,0,IR,1561605547,17,31.03,61.49,86,31.09
190,20,PT,1561605547,93,37.7,-8.08,62.01,5.82
191,1,US,1561605548,60,34.06,-117.19,75,10.29
192,86,KZ,1561605548,27,44.14,52.16,79.97,6.89
193,0,EG,1561605271,81,30.6,32.27,71.69,6.15
194,12,FR,1561605548,93,48.83,-1.36,64.99,9.17
195,75,NO,1561605548,93,63.66,9.57,53.01,17.22
196,75,CL,1561605549,87,-42.48,-73.76,46.4,11.41
197,100,CG,1561605549,95,1.61,16.05,68.63,3.98
198,0,TR,1561605549,69,36.95,36.2,79,16.11
199,100,VN,1561605549,54,20.25,105.97,90.59,4.56
200,0,CL,1561605550,76,-29.95,-71.34,53.01,9.28
201,100,IS,1561605550,97,63.44,-20.27,52.61,17.18
202,5,MX,1561605267,25,22.89,-109.91,91.4,10.29
203,2,RU,1561605550,24,69.3,139.9,74.75,10
204,100,IN,1561605551,97,25.91,93.73,74.75,4.34
205,0,AU,1561605551,42,-31.97,141.45,64.4,16.11
206,0,IT,1561605551,73,45.44,10.99,79,4.7
207,0,RU,1561605551,41,65.95,111.51,77,6.71
208,75,AU,1561605303,82,-31.95,115.86,61,17.22
209,40,BB,1561605552,69,13.22,-59.52,82.4,23.04
210,100,RU,1561605552,78,68.05,39.51,51.35,12.44
211,95,OM,1561605552,60,22.57,59.53,85.73,9.86
212,10,MX,1561605552,43,26.8,-109.39,89.01,5.44
213,100,ID,1561605553,77,-7.95,110.28,77.09,13.06
214,91,RU,1561605553,36,68.75,161.3,64.31,17.78
215,90,CA,1561605553,93,50.2,-66.38,55.4,8.05
216,100,CM,1561605553,98,6.75,11.81,61.43,0.45
217,98,KZ,1561605553,74,53.07,76.1,60.53,10.89
218,0,ZW,1561605554,92,-20.19,32.62,52.79,2.55
219,0,RU,1561605554,33,71.64,128.87,72.77,12.71
220,0,AU,1561605267,25,-25.24,130.99,62.6,6.93
221,9,BR,1561605554,85,-17.73,-39.27,73.49,6.11
222,3,IN,1561605555,78,23.26,68.83,85.55,17.16
223,100,CN,1561605555,87,32.14,105.51,71.51,4
224,32,SD,1561605555,53,14.2,24.66,75.83,9.44
225,66,PG,1561605555,74,-3.66,152.44,82.67,11.36
226,75,JP,1561605446,78,34.71,137.73,80.6,11.41
227,75,CA,1561605459,64,48.48,-81.33,68,6.93
228,75,ET,1561605616,72,8.96,38.73,60.8,3.36
229,90,US,1561605616,93,37.46,-122.43,64.4,11.41
230,0,FR,1561605616,94,48.95,4.24,75.2,10.29
231,95,NA,1561605617,82,-22.95,14.51,59,13.87
232,0,PK,1561605617,45,28.49,66.26,72.77,3
233,0,PY,1561605617,80,-26.98,-56.83,42.53,5.35
234,1,KI,1561605617,75,3.07,172.79,83.75,12.95
235,100,BR,1561605618,97,-9.01,-35.22,70.79,1.52
236,40,US,1561605618,55,20.89,-156.47,87.8,9.17
237,40,DZ,1561605618,90,36.1,0.42,72.41,9.95
238,0,CV,1561605619,85,14.9,-24.5,74.21,21.32
239,61,CI,1561605619,96,8.36,-4.43,71.33,4.83
240,88,RU,1561605619,32,61.28,108.01,80.51,4.76
241,75,CA,1561605502,42,52.13,-122.14,64.4,2.24
242,90,CA,1561605619,87,49.78,-74.86,60.8,8.05
243,0,MR,1561605620,17,20.52,-13.05,91.49,15.32
244,100,RU,1561605620,93,54.44,113.59,50.45,5.19
245,20,TZ,1561605620,74,-5.38,39.7,79.43,25.28
246,5,MX,1561605620,78,15.86,-97.07,82.4,1.88
247,0,GL,1561605621,80,69.22,-51.1,41,6.93
248,1,US,1561605621,65,35.41,-99.4,82.4,11.41
249,100,TZ,1561605621,87,-4.5,37.91,64.85,12.84
250,1,US,1561605386,49,55.34,-131.65,80.6,16.11
251,0,NA,1561605531,100,-26.65,15.16,48.2,4.7
252,40,CA,1561605485,33,54.78,-127.17,77,14.99
253,0,RU,1561605622,22,67.55,133.39,79.97,2.86
254,0,AU,1561605622,77,-33.86,121.89,59,19.46
255,0,ZA,1561605622,62,-34.05,23.37,54.41,4.79
256,100,EE,1561605622,98,59.1,26.19,54.77,0.18
257,75,NG,1561605622,85,12.18,6.51,74.57,14.14
258,100,MM,1561605623,82,16.08,97.57,81.77,10.56
259,0,IN,1561605623,23,29.7,75.25,101.21,5.06
260,90,US,1561605320,93,43.66,-70.25,66,4.7
261,98,ID,1561605623,75,5.56,95.32,83.75,14.09
262,73,MV,1561605623,76,5.1,73.07,83.21,8.77
263,0,AR,1561605624,58,-31.25,-61.49,41,1.01
264,75,CA,1561605624,63,54.52,-128.61,71.01,2.24
265,5,RO,1561605624,93,45.2,27.57,60.8,1.12
266,0,AU,1561605625,63,-37.83,140.78,60.8,14.99
267,0,BR,1561605625,88,-22.97,-42.02,71.6,4.7
268,62,RU,1561605625,77,52.57,78.94,69.35,8.48
269,6,SE,1561605685,100,57.79,14.13,59,4.7
270,11,AR,1561605641,25,-31.54,-68.53,45.95,9.01
271,0,RS,1561605687,100,45.41,19.89,73.99,2.24
272,1,US,1561605687,33,43.97,-111.68,75.2,5.82
273,75,HN,1561605687,83,15.09,-87.97,77,4.7
274,0,RS,1561605688,100,43.39,19.65,60.8,1.12
275,75,AU,1561605672,88,-28.95,153.24,69.8,8.05
276,0,ZA,1561605688,77,-28.55,16.43,54.95,4.38
277,33,PH,1561605689,64,15.79,120.99,88.43,5.7
278,0,ZA,1561605689,48,-31.47,19.78,46.31,9.53
279,67,FO,1561605690,100,62.16,-7.17,50,5.82
280,10,ZA,1561605690,93,-27.03,28.6,43.43,8.03
281,100,CD,1561605690,88,1.23,23.61,72.05,0.47
282,100,CN,1561605690,82,40.77,114.88,59.99,3.96
283,75,US,1561605691,73,36.85,-75.98,80.01,3.36
284,99,CN,1561605691,46,33,112.53,88.07,6.15
285,100,RU,1561605691,50,54.43,119.94,66.11,5.68
286,84,RU,1561605691,71,50.68,47.44,62.69,1.61
287,100,CN,1561605691,57,32.78,118.01,83.75,7.9
288,98,RU,1561605692,75,42.73,133.08,68.81,7.25
